"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
15 Dec 2017 14:56:42.200,-232184.418543,-314381.535181,-97722.516492,0.782252,-0.534688,-0.243284
15 Dec 2017 14:57:42.000,-232137.637279,-314413.506124,-97737.063815,0.782338,-0.534574,-0.243249
15 Dec 2017 14:58:42.000,-232090.694389,-314445.577118,-97751.657672,0.782425,-0.534459,-0.243213
15 Dec 2017 14:59:42.000,-232043.746326,-314477.641222,-97766.249404,0.782511,-0.534344,-0.243178
15 Dec 2017 15:00:42.000,-231996.793090,-314509.698436,-97780.839013,0.782597,-0.534229,-0.243142
15 Dec 2017 15:01:42.000,-231949.834683,-314541.748761,-97795.426496,0.782683,-0.534115,-0.243107
15 Dec 2017 15:02:42.000,-231902.871105,-314573.792195,-97810.011856,0.782769,-0.534000,-0.243072
15 Dec 2017 15:03:42.000,-231855.902358,-314605.828737,-97824.595090,0.782856,-0.533885,-0.243036
15 Dec 2017 15:04:42.000,-231808.928444,-314637.858387,-97839.176198,0.782942,-0.533770,-0.243001
15 Dec 2017 15:05:42.000,-231761.949362,-314669.881144,-97853.755181,0.783028,-0.533655,-0.242965
15 Dec 2017 15:06:42.000,-231714.965114,-314701.897008,-97868.332039,0.783114,-0.533540,-0.242930
15 Dec 2017 15:07:42.000,-231667.975702,-314733.905978,-97882.906770,0.783200,-0.533425,-0.242894
15 Dec 2017 15:08:42.000,-231620.981126,-314765.908054,-97897.479374,0.783286,-0.533310,-0.242859
15 Dec 2017 15:09:42.000,-231573.981388,-314797.903234,-97912.049852,0.783372,-0.533196,-0.242824
15 Dec 2017 15:10:42.000,-231526.976488,-314829.891519,-97926.618202,0.783458,-0.533081,-0.242788
15 Dec 2017 15:11:42.000,-231479.966428,-314861.872907,-97941.184425,0.783544,-0.532966,-0.242753
15 Dec 2017 15:12:42.000,-231432.951208,-314893.847398,-97955.748521,0.783630,-0.532851,-0.242717
15 Dec 2017 15:13:42.000,-231385.930831,-314925.814991,-97970.310488,0.783716,-0.532736,-0.242682
15 Dec 2017 15:14:42.000,-231338.905296,-314957.775686,-97984.870327,0.783802,-0.532621,-0.242646
15 Dec 2017 15:15:42.000,-231291.874606,-314989.729482,-97999.428037,0.783888,-0.532506,-0.242611
15 Dec 2017 15:16:42.000,-231244.838761,-315021.676378,-98013.983619,0.783974,-0.532391,-0.242575
15 Dec 2017 15:17:42.000,-231197.797762,-315053.616374,-98028.537071,0.784060,-0.532276,-0.242540
15 Dec 2017 15:18:42.000,-231150.751611,-315085.549470,-98043.088394,0.784145,-0.532161,-0.242504
15 Dec 2017 15:19:42.000,-231103.700308,-315117.475664,-98057.637587,0.784231,-0.532046,-0.242469
