"Time (UTCG)","x (km)","y (km)","z (km)","vx (km/sec)","vy (km/sec)","vz (km/sec)"
15 Dec 2017 14:56:42.200,-16452998.593032,-134248022.504610,-58196377.831276,30.096334,-2.958352,-1.282733
15 Dec 2017 15:26:42.000,-16398830.076246,-134253337.868515,-58198682.563914,30.097594,-2.948264,-1.278365
15 Dec 2017 15:56:42.000,-16344653.275410,-134258635.663558,-58200979.689850,30.098851,-2.938175,-1.273996
15 Dec 2017 16:26:42.000,-16290474.217400,-134263915.297048,-58203268.952084,30.100102,-2.928085,-1.269628
15 Dec 2017 16:56:42.000,-16236292.909876,-134269176.767966,-58205550.350166,30.101350,-2.917994,-1.265258
15 Dec 2017 17:26:42.000,-16182109.360483,-134274420.075294,-58207823.883644,30.102593,-2.907903,-1.260889
15 Dec 2017 17:56:42.000,-16127923.576868,-134279645.218021,-58210089.552071,30.103832,-2.897811,-1.256520
15 Dec 2017 18:26:42.000,-16073735.566685,-134284852.195139,-58212347.355000,30.105067,-2.887719,-1.252150
15 Dec 2017 18:56:42.000,-16019545.337591,-134290041.005644,-58214597.291986,30.106298,-2.877626,-1.247780
15 Dec 2017 19:26:42.000,-15965352.897234,-134295211.648536,-58216839.362584,30.107524,-2.867533,-1.243409
15 Dec 2017 19:56:42.000,-15911158.253274,-134300364.122818,-58219073.566354,30.108746,-2.857439,-1.239039
15 Dec 2017 20:26:42.000,-15856961.413363,-134305498.427500,-58221299.902855,30.109964,-2.847344,-1.234668
15 Dec 2017 20:56:42.000,-15802762.385161,-134310614.561592,-58223518.371647,30.111178,-2.837249,-1.230297
15 Dec 2017 21:26:42.000,-15748561.176329,-134315712.524111,-58225728.972295,30.112387,-2.827154,-1.225926
15 Dec 2017 21:56:42.000,-15694357.794520,-134320792.314078,-58227931.704362,30.113592,-2.817058,-1.221554
15 Dec 2017 22:26:42.000,-15640152.247400,-134325853.930515,-58230126.567414,30.114793,-2.806961,-1.217182
15 Dec 2017 22:56:42.000,-15585944.542631,-134330897.372452,-58232313.561019,30.115990,-2.796864,-1.212810
15 Dec 2017 23:26:42.000,-15531734.687872,-134335922.638920,-58234492.684747,30.117182,-2.786766,-1.208438
15 Dec 2017 23:56:42.000,-15477522.690789,-134340929.728955,-58236663.938168,30.118370,-2.776668,-1.204065
16 Dec 2017 00:26:42.000,-15423308.558302,-134345918.641684,-58238827.320856,30.119554,-2.766569,-1.199693
16 Dec 2017 00:56:42.000,-15369092.299570,-134350889.375978,-58240982.832383,30.120733,-2.756469,-1.195320
16 Dec 2017 01:26:42.000,-15314873.921506,-134355841.930974,-58243130.472325,30.121908,-2.746370,-1.190947
16 Dec 2017 01:56:42.000,-15260653.431790,-134360776.305721,-58245270.240261,30.123079,-2.736269,-1.186573
16 Dec 2017 02:26:42.000,-15206430.838086,-134365692.499277,-58247402.135769,30.124246,-2.726168,-1.182199
16 Dec 2017 02:56:42.000,-15152206.148060,-134370590.510703,-58249526.158429,30.125409,-2.716067,-1.177826
16 Dec 2017 03:26:42.000,-15097979.369386,-134375470.339062,-58251642.307824,30.126567,-2.705965,-1.173451
16 Dec 2017 03:56:42.000,-15043750.509740,-134380331.983422,-58253750.583538,30.127721,-2.695862,-1.169077
16 Dec 2017 04:26:42.000,-14989519.576789,-134385175.442857,-58255850.985155,30.128871,-2.685759,-1.164702
16 Dec 2017 04:56:42.000,-14935286.578213,-134390000.716443,-58257943.512265,30.130016,-2.675656,-1.160328
16 Dec 2017 05:26:42.000,-14881051.521682,-134394807.803260,-58260028.164453,30.131157,-2.665552,-1.155953
16 Dec 2017 05:56:42.000,-14826814.414873,-134399596.702393,-58262104.941312,30.132294,-2.655447,-1.151577
16 Dec 2017 06:26:42.000,-14772575.265468,-134404367.412931,-58264173.842434,30.133427,-2.645342,-1.147202
16 Dec 2017 06:56:42.000,-14718334.081138,-134409119.933965,-58266234.867410,30.134555,-2.635237,-1.142826
16 Dec 2017 07:26:42.000,-14664090.869566,-134413854.264594,-58268288.015838,30.135679,-2.625131,-1.138450
16 Dec 2017 07:56:42.000,-14609845.638434,-134418570.403917,-58270333.287313,30.136799,-2.615024,-1.134074
16 Dec 2017 08:26:42.000,-14555598.395418,-134423268.351040,-58272370.681434,30.137915,-2.604917,-1.129698
16 Dec 2017 08:56:42.000,-14501349.148201,-134427948.105071,-58274400.197801,30.139026,-2.594809,-1.125321
16 Dec 2017 09:26:42.000,-14447097.904471,-134432609.665124,-58276421.836016,30.140133,-2.584701,-1.120944
16 Dec 2017 09:56:42.000,-14392844.671907,-134437253.030314,-58278435.595681,30.141236,-2.574593,-1.116567
16 Dec 2017 10:26:42.000,-14338589.458188,-134441878.199764,-58280441.476403,30.142334,-2.564484,-1.112190
16 Dec 2017 10:56:42.000,-14284332.271012,-134446485.172598,-58282439.477786,30.143428,-2.554374,-1.107812
16 Dec 2017 11:26:42.000,-14230073.118060,-134451073.947945,-58284429.599440,30.144518,-2.544264,-1.103435
16 Dec 2017 11:56:42.000,-14175812.007015,-134455644.524939,-58286411.840974,30.145604,-2.534154,-1.099057
16 Dec 2017 12:26:42.000,-14121548.945568,-134460196.902716,-58288386.201999,30.146686,-2.524043,-1.094678
16 Dec 2017 12:56:42.000,-14067283.941412,-134464731.080419,-58290352.682129,30.147763,-2.513932,-1.090300
16 Dec 2017 13:26:42.000,-14013017.002231,-134469247.057193,-58292311.280977,30.148836,-2.503820,-1.085922
16 Dec 2017 13:56:42.000,-13958748.135722,-134473744.832186,-58294261.998161,30.149904,-2.493708,-1.081543
16 Dec 2017 14:26:42.000,-13904477.349570,-134478224.404553,-58296204.833298,30.150968,-2.483595,-1.077164
16 Dec 2017 14:56:42.000,-13850204.651471,-134482685.773451,-58298139.786007,30.152029,-2.473481,-1.072784
16 Dec 2017 15:26:42.000,-13795930.049121,-134487128.938042,-58300066.855909,30.153084,-2.463368,-1.068405
16 Dec 2017 15:56:42.000,-13741653.550208,-134491553.897491,-58301986.042627,30.154136,-2.453253,-1.064025
16 Dec 2017 16:26:42.000,-13687375.162431,-134495960.650969,-58303897.345786,30.155183,-2.443139,-1.059646
16 Dec 2017 16:56:42.000,-13633094.893488,-134500349.197649,-58305800.765011,30.156226,-2.433024,-1.055266
16 Dec 2017 17:26:42.000,-13578812.751071,-134504719.536709,-58307696.299929,30.157265,-2.422908,-1.050885
16 Dec 2017 17:56:42.000,-13524528.742878,-134509071.667332,-58309583.950169,30.158299,-2.412792,-1.046505
16 Dec 2017 18:26:42.000,-13470242.876613,-134513405.588703,-58311463.715363,30.159329,-2.402676,-1.042124
16 Dec 2017 18:56:42.000,-13415955.159971,-134517721.300012,-58313335.595143,30.160355,-2.392559,-1.037743
16 Dec 2017 19:26:42.000,-13361665.600645,-134522018.800455,-58315199.589141,30.161377,-2.382441,-1.033362
16 Dec 2017 19:56:42.000,-13307374.206349,-134526298.089229,-58317055.696994,30.162394,-2.372323,-1.028981
16 Dec 2017 20:26:42.000,-13253080.984778,-134530559.165537,-58318903.918340,30.163407,-2.362205,-1.024599
16 Dec 2017 20:56:42.000,-13198785.943630,-134534802.028586,-58320744.252815,30.164416,-2.352086,-1.020218
16 Dec 2017 21:26:42.000,-13144489.090613,-134539026.677586,-58322576.700061,30.165420,-2.341967,-1.015836
16 Dec 2017 21:56:42.000,-13090190.433433,-134543233.111752,-58324401.259719,30.166420,-2.331848,-1.011454
16 Dec 2017 22:26:42.000,-13035889.979787,-134547421.330303,-58326217.931433,30.167416,-2.321728,-1.007072
16 Dec 2017 22:56:42.000,-12981587.737386,-134551591.332462,-58328026.714848,30.168408,-2.311607,-1.002689
16 Dec 2017 23:26:42.000,-12927283.713936,-134555743.117456,-58329827.609610,30.169395,-2.301486,-0.998306
16 Dec 2017 23:56:42.000,-12872977.917139,-134559876.684517,-58331620.615367,30.170378,-2.291365,-0.993924
17 Dec 2017 00:26:42.000,-12818670.353960,-134563992.032948,-58333405.731775,30.171357,-2.281243,-0.989541
17 Dec 2017 00:56:42.000,-12764361.033599,-134568089.161843,-58335182.958492,30.172331,-2.271121,-0.985157
17 Dec 2017 01:26:42.000,-12710049.963019,-134572168.070516,-58336952.295173,30.173302,-2.260999,-0.980774
17 Dec 2017 01:56:42.000,-12655737.149933,-134576228.758215,-58338713.741472,30.174267,-2.250876,-0.976390
17 Dec 2017 02:26:42.000,-12601422.602045,-134580271.224191,-58340467.297046,30.175229,-2.240752,-0.972006
17 Dec 2017 02:56:42.000,-12547106.327070,-134584295.467700,-58342212.961553,30.176186,-2.230629,-0.967622
17 Dec 2017 03:26:42.000,-12492788.332723,-134588301.488001,-58343950.734654,30.177140,-2.220504,-0.963238
17 Dec 2017 03:56:42.000,-12438468.626712,-134592289.284359,-58345680.616009,30.178088,-2.210380,-0.958854
17 Dec 2017 04:26:42.000,-12384147.216745,-134596258.856041,-58347402.605283,30.179033,-2.200255,-0.954469
17 Dec 2017 04:56:42.000,-12329824.110548,-134600210.202318,-58349116.702140,30.179973,-2.190129,-0.950084
17 Dec 2017 05:26:42.000,-12275499.315829,-134604143.322467,-58350822.906246,30.180909,-2.180003,-0.945699
17 Dec 2017 05:56:42.000,-12221172.840300,-134608058.215768,-58352521.217271,30.181841,-2.169877,-0.941314
17 Dec 2017 06:26:42.000,-12166844.691681,-134611954.881504,-58354211.634884,30.182768,-2.159751,-0.936929
17 Dec 2017 06:56:42.000,-12112514.877690,-134615833.318964,-58355894.158757,30.183691,-2.149624,-0.932544
17 Dec 2017 07:26:42.000,-12058183.406038,-134619693.527441,-58357568.788563,30.184610,-2.139496,-0.928158
17 Dec 2017 07:56:42.000,-12003850.284446,-134623535.506230,-58359235.523978,30.185524,-2.129368,-0.923772
17 Dec 2017 08:26:42.000,-11949515.520636,-134627359.254632,-58360894.364678,30.186434,-2.119240,-0.919386
17 Dec 2017 08:56:42.000,-11895179.122319,-134631164.771951,-58362545.310341,30.187340,-2.109112,-0.915000
17 Dec 2017 09:26:42.000,-11840841.097222,-134634952.057495,-58364188.360648,30.188242,-2.098983,-0.910613
17 Dec 2017 09:56:42.000,-11786501.453059,-134638721.110579,-58365823.515279,30.189139,-2.088853,-0.906227
17 Dec 2017 10:26:42.000,-11732160.197553,-134642471.930518,-58367450.773920,30.190032,-2.078724,-0.901840
17 Dec 2017 10:56:42.000,-11677817.338428,-134646204.516632,-58369070.136254,30.190921,-2.068593,-0.897453
